SONG,ARTIST,MF CODE,TRACK
500 Miles Away From Home,Bobby Bare,SC8682,7
50000 Names,George Jones,SC8759,3
50000 Names,James O' Hara,SC8137,12
5-4-3-2-1,Manfred Mann,ZPA071,11
57 Chevrolet,Billie Jo Spears,SFMW819,15
59th Street Bridge Song,Simon And Garfunkel,HD005,2
6 8 12,Brian Mcknight,SGB0045,13
6 8 12,Brian Mcknight (Vocal),PHM0008,17
6 Underground,Sneaker Pimps,SFMW882,8
6:00 AM,Rahsaan Patterson,PHMU1110,7
6:00 AM,Rahsaan Patterson (Vocal),PHMU1110,16
60 Minute Man,Dominoes,SC8110,6
6345-789,Blues Brothers,ZPA029,2
65 Love Affair,Paul Davis,SC8297,10
68 Guns,Alarm,SFMW889,3
7 Things,Miley Cyrus,SFKK28,3
76 Trombones,Music Man,LEGBR05,10
800 Pound Jesus,Sawyer Brown,SC8596,13
80's Ladies,K T Oslin,SC8157,4
867 5309 Jenny,Tommy Tutone,SC8176,3
88 Lines About 44 Women,Nails,SC8707,1
8th Of November,Big And Rich,THM2006,--
8th World Wonder,Kimberly Locke,PHM0405,7
8th World Wonder,Kimberly Locke (Vocal),PHM0405,16
9 Crimes,Damien Rice,SF250,18
9 To 5,Dolly Parton,SFPL009,1
911,Jean Wyclef Feat Mary J Blige,SC8654,4
96 Tears,Question Mark And The Mysteri,SGB0055,5
986,Athena Cage And Keith Sweat,SC8521,4
99,Toto,SC9012,4
99 Luft Balloons (German),Nena,SAVP040,1
99 Red Balloons,Nena,ZGY84,15
99 Times,Kate Voegele,PHM0908,6
99 Times,Kate Voegele (Vocal),PHM0908,15
A + E,Goldfrapp,SF264,14
A 11,Johnny Paycheck,SC8419,12
A B C,Jackson 5,SFGD024,13
A Good Heart,Feargal Sharkey,ZKH08,8
A Rockin' Good Way,Shakin' Stevens And Bonnie Ty,ZKH12,7
A Spaceman Came Travelling,Chris Deburgh,ZKH09,4
A Team,Ed Sheeran,SFKK65,12
A Thing Called Love,Johnny Cash,SFWS036,4
Aanyway,Martina Mcbride,BH0314,7
Aaron's Party Come And Get It,Aaron Carter,TT033,1
Abc,Jackson 5,SC7529-V2,12
Abc's Of Love,Frankie Lymon,LEG219,14
Abilene,Don Gibson,SC8158,4
Abilene,George Hamilton Iv,SC7589,5
Abilene,Natalie Maines And Sheryl Cro,SC8784,12
About A Girl,Nirvana,SC8148,10
About A Girl,Sugababes,SF286,7
About Us,Brooke Hogan Paul Wall,THM2006,--
About You Now,Miranda Cosgrove,PHM0903,5
About You Now,Miranda Cosgrove (Vocal),PHM0903,14
About You Now,Sugababes,ZPP04-1,2
Above Ground,Norah Jones,ZPA046,10
Abracadabra,Steve Miller Band,SC8176,5
Abracadabra,Sugar Ray,SC8640,14
Abraham Martin And John,Dion,SC8218,2
Abrazame,Julio Iglesias,PS1423,18
Abrazame,Julio Iglesias (Vocal),PS1423,8
Absence Of The Heart,Deana Carter,SC8488,1
Absolute,Scritti Politti,SFMW910,6
Absolute Beginners,David Bowie,SFHH05-1,2
Absolute Beginners,Jam,SFGD008,8
Absolutely (Story Of A Girl),Nine Days,SPC001,2
Absolutely (Story Of A Girl),Nine Days (Vocal),PHM0008,11
Abuse Me,Silverchair,SC8357,4
Ac Cent Tchu Ate The Positive,Johnny Mercer,SC8249,8
Acapella,Kelis,SF291,14
Accidents Will Happen,Elvis Costello,SC8522,7
According To You,Orianthi,SFKK39,4
According To You,Orianthi (Vocal),CB30129,13
Ace In The Hole,George Strait,SC8703,3
Ace Of Spades,Motorhead,SC8756,5
Aces,Suzy Bogguss,SC8165,4
Aces High,Iron Maiden,SC8660,13
Achilles Heel,Toploader,SFTP05,10
Achy Breaky Heart,Billy Ray Cyrus,ZLP01,4
Achy Breaky Song,Weird Al Yankovic,SGB0023,14
Acquiensce,Oasis,EZH060,5
Across The Universe,Beatles,TT051,2
Across The Universe,Fiona Apple,SGB0008,3
Act Naturally,Beatles,ZPA008,7
Act Naturally,Buck Owens,SC7544,9
Adalida,George Strait,SC8163,11
Adam's Song,Blink 182,SFPL005,6
Adam's Song,Blink 182 (Vocal),SC2447,11
Add It Up,Violent Femmes,SC8532,4
Addams Family,Tv Theme,SC8116,11
Addams Family,Vic Mizzy,TT069,1
Addicted,Amy Winehouse,ZPA130,1
Addicted,Dan Seals,SC8610,5
Addicted,Enrique Iglesias,PHM0401,3
Addicted,Enrique Iglesias (Vocal),PHM0401,12
Addicted,Saving Abel,QH305,9
Addicted,Simple Plan,SC2447,3
Addicted,Simple Plan (Vocal),SC2447,12
Addicted To A Dollar,Doug Stone,SC8142,3
Addicted To Bass,Purestone,SF189,2
Addicted To Love,Robert Palmer,SF015,15
Addicted To Love,Tina Turner,SFGD045,9
Addicted To Spuds,Weird Al Yankovic,SGB0023,8
Adia,Sara Mclachlan,SPC021,13
Adia,Sarah Mclachlan,ZPA072,7
Adidas,Korn,SC8626,10
Adilida,George Strait,LEG178,10
Adios Amigo,Jim Reeves,SC8491,11
Adon Alom,Jewish,SC8166,3
Adora,Graciela Susana,SAVP019,11
Adrienne,Calling,SF198,2
Adult Education,Daryl Hall And John Oates,SC8641,3
Adventure,Angels And Airwaves,THMR0608,16
Adventure,Angels And Airwaves (Vocal),THMR0608,7
Advertising Space,Robbie Williams,SFWS003,14
Aeiou (And Sometimes Y),Ebn Ozn,SC8892,10
Aerials,System Of A Down,SC8783,15
Aeroplane,Red Hot Chili Peppers,SFWS006,1
Affair Of The Heart,Rick Springfield,ZPA110,1
Affirmation,Savage Garden,SFMW804,2
Africa,Toto,SF012,6
After A Kiss,Pam Tillis,SC8560,10
After All,Al Jarreau,SGB0051,2
After All,Al Jarreau (Vocal),PS1273,4
After All,Cher And Peter Cetera,SC8482,12
After All The Good Is Gone,Conway Twiity,CBE10-02,18
After All These Years,Foster And Allen,ZKH11,16
After All These Years,Jim Brickman And Anne Cochran,SC8469,1
After All This Time,Simon Webbe,SF240,10
After Closing Time,Barbara Mandrell And D Housto,SAVA009,4
After Dark,Tito And The Tarantulas,SFMW917,15
After Hours,Bluetones,SF191,7
After Hours,We Are Scientists,SF265,4
After Midnight,Eric Clapton,SC8354,9
After Party,Koffee Brown,SC8695,2
After The Fall,Journey,SC8721,13
After The Fire Is Gone,Loretta Lynn And Conway Twitt,SC8408,3
After The Glitter Fades,Stevie Nicks,LEG163,13
After The Gold Rush,Neil Young,SC8624,9
After The Love Has Gone,Damage,SF187,13
After The Love Has Gone,Earth Wind And Fire,SFMW814,7
After The Loving,Engelbert Humperdinck,SPC031,3
After The Rain Has Fallen,Sting,SC8645,1
After The Rain Has Fallen,Sting (Vocal),PHM0105,15
After The Thrill Is Gone,Eagles,LEG126,3
After You've Gone,Al Jolson,LEG110,7
After You've Gone,Frank Sinatra,SGB0061,1
Afterglow,Inxs,THM2006,--
Afternoon And Coffee Spoon,Crash Test Dummies,MM6057,12
Afternoon Delight,Starland Vocal Band,SFMW903,15
Afternoons And Coffee Spoons,Crash Test Dummies,SFMW877,8
Agadoo,Black Lace,ZGY84,12
Again,Alice In Chains,SC8286,4
Again,Janet Jackson,SC8113,12
Again,Lenny Kravitz,TT073,2
Again,Lenny Kravitz (Vocal),PHM0101,14
Again,Mel Torme,SC8249,4
Again And Again,Jewel,THM2006,--
Against All Odds,Mariah Carey,SGB0045,10
Against All Odds,Phil Collins,SC8611,15
Against All Odds,Steve Brookstein,EZH042,9
Against All Odds (Take A Look At Me,Phil Collins,ZGY84,8
Against The Grain,Garth Brooks,SGB0024,7
Against The Wind,Bob Seger,SC7534,5
Against The Wind,Brooks And Dunn,SC8590,11
Agapa Me,Standard,SC8193,13
Ah Leah,Donnie Iris,SC8597,12
Ah Marie,Neopolitan,PS1099,26
Ah Marie,Neopolitan (Vocal),PS1099,11
Ahab The Arab,Ray Stevens,SGB0041,9
Ain't Enough Roses,Lisa Brokop,SC8520,2
Ain't Even Done With The Night,John Cougar Mellencamp,SC8632,1
Ain't Goin' Down Till The Sun Comes,Garth Brooks,SGB0024,13
Ain't Gonna Bump No More,Joe Tex,SF103,2
Ain't Got No,Hair,SC8663,3
Ain't Got No (Reprise),Hair,SC8663,2
Ain't Got No Home,Clarence Frogman Henry,SC8544,14
Ain't Got No I Got Life,Nina Simone,SFMW863,2
Ain't Got Nothin' But The Blues,Robin Ford,SGB0027,4
Ain't Got Nothin' On Us,John Michael Montgomery,SC8319,10
Ain't Got Nothing If You Ain't Got,Michael Bolton,MM6057,10
Ain't Had No Lovin',Connie Smith,SC7558,11
Ain't It Fun,Guns 'n' Roses,ZPA067,1
Ain't It Funny,Jennifer Lopez,TT027,1
Ain't It Funny,Jennifer Lopez (Vocal),PHM0204,15
Ain't It Funny How Time Slips Away,Willie Nelson,SAVA002,8
Ain't Misbehavin',Fats Waller,LEG169,11
Ain't No Doubt,Jimmy Nail,SFMW807,5
Ain't No Love In The Heart Of The C,Whitesnake,SFMW906,2
Ain't No Man,Dina Carroll,SFMW830,1
Ain't No Mountain High Enough,Diana Ross,SF018,12
Ain't No Mountain High Enough,Marvin Gaye And Tammy Terrel,LEG166,6
Aint No Other Man,Christina Aguilera,SFWS005,12
Ain't No Other Man,Christina Aguilera,THM2006,--
Ain't No Other Man,Christina Aguilera (Vocal),PHM0609,13
Ain't No Party,Orson,SF261,4
Ain't No Pleasin' You,Chas And Dave,PX014,4
Ain't No Stoppin Us Now,Luther Vandross,SFWS019,16
Ain't No Stoppin' Us Now,Mcfadden And Whitehead,PI057,13
Ain't No Stopping Us Now,Mcfadden And Whitehead,PI326,2
Ain't No Sunshine,Bill Withers,SFMW804,11
Ain't No Sunshine,Eva Cassidy,ZPA003,5
Ain't No Sunshine,Isley Brothers,SC7574-V2,7
Ain't No Sunshine When She's Gone,Will Young,SFGD018,3
Ain't No Way,Aretha Franklin,SC8776,5
Ain't No Way To Treat A Lady,Helen Reddy,SGB0051,10
Ain't No Woman,Four Tops,SC7534,15
Ain't Nobody,Chaka Khan,SF011,1
Ain't Nobody,Chaka Khan And Rufus,SC7503-V2,13
Ain't Nobody,Faith Evans,SC8281,13
Ain't Nobody Gonna Take That From M,Collin Raye,SC8714,8
Ain't Nobody Like You,Miki Howard,SC8754,14
Ain't Nobody's Business,Jimmy Witherspoon,SC8327,7
Ain't Nothing 'bout You,Brooks And Dunn,TT057,1
Ain't Nothing But A House Party,Showstoppers,SF088,1
Ain't Nothing Like The Real Thing,Elton John,PS1188,12
Ain't Nothing Like The Real Thing,Elton John (Vocal),PS1188,4
Ain't Nothing Like The Real Thing,Marvin Gaye And Tammi Terrel,SC8984,2
Ain't Nothing Like The Real Thing,Marvin Gaye And Tammi Terrell,SC8226,8
Ain't Nothing Like The Real Thing,Marvin Gaye And Tammy Terrell,LEG166,16
Ain't She Something Else,Conway Twitty,SC8385,7
Ain't She Sweet,Standard,SCRS7,4
Ain't Talkin' 'bout Love,Van Halen,SC7565,2
Ain't That A Bitch,Johnny Watson,SGB0066,13
Ain't That A Kick In The Head,Dean Martin,SFMW921,14
Ain't That A Kick In The Head,Robbie Williams,SFWS003,3
Ain't That A Kick In The Head,Westlife,EZH039,12
Aint That A Shame,Paul Mccartney,LGK002,12
Ain't That A Shame,Cheap Trick,SC7506-V2,1
Ain't That A Shame,Fats Domino,SPC036,7
Ain't That Just Like A Dream,Tim Mcgraw,PS1219,11
Ain't That Just Like A Dream,Tim Mcgraw (Vocal),PS1219,1
Ain't That Just The Way,Lutricia Mcneal,SF116,3
Ain't That Lonely Yet,Dwight Yoakam,SC8130,10
Ain't That Peculiar,Marvin Gaye,DKK067,12
Ain't Too Proud To Beg,Rolling Stones,SC8670,1
Ain't Too Proud To Beg,Temptations,SC8361,1
Ain't Wastin' Good Whiskey On You,Trick Pony,THM2006,--
Ain't Wastin' Time No More,Allman Brothers,US03,10
Ain't What It Used To Be,Megan Mullins,THM2006,--
Ain't Your Dog No More,Billy Ray Cyrus,SC8236,7
Air,Hair,SC8663,17
Air Hostess,Busted,ZPA061,7
Air That I Breathe,Hollies,ZPA007,4
Airplane,Red Hot Chili Peppers,LEG129,13
Airplanes,B O B And Hayley Williams,QH327,2
Airplanes,B O B Feat Hayley Williams,SFKK46,5
Al Di La,Connie Francis,LEG231,8
Al Di La,Italian,PS1099,29
Al Di La,Italian (Vocal),PS1099,14
Al Green And Annie Lennox,Put A Little Love In Your Hea,SFID008,15
Al Hol Eleh,Jewish,SC8166,11
Alabama Song,Allison Moorer,SC8496,14
Alabama Song,Doors,SGB0034,10
Alas For You,Godspell,PS1241,21
Alas For You,Godspell (Vocal),PS1241,9
Albuquerque,Sons Of The Desert,SC8636,6
Alcohol,Brad Paisley,SPC038,3
Alejandro,Lady Gaga,QH1007,5
Alejandro,Lady Gaga (Vocal),CB30129,11
Alexa The Downeaster,Billy Joel,SC8715,15
Alexander's Rag Time Band,Standard,DKK096,5
Alexander's Ragtime Band,Andrews Sisters,SC8124,14
Alexander's Ragtime Band,Standard,SCRS7,7
Alfie,Cilla Black,SF085,9
Alfie,Dionne Warwick,SFMW819,10
Alfie,Jack Jones,MM6085,11
Alibi,Tait,TT073,19
Alibis,Tracy Lawrence,SC8200,11
Alice,Avril Lavigne,SF291,16
Alice,Avril Lavigne (Vocal),PHM1006,10
Aliens Exist,Blink 182,SFGD035,15
Alimony,Weird Al Yankovic,SGB0023,7
Alison,Elvis Costello,ZPA092,5
Alison My Aim Is True,Elvis Costello,SGB0026,4
Alive,Edwin Mccain,SC8295,12
Alive,Jennifer Lopez,SC8768,6
Alive,Jennifer Lopez (Vocal),PHM0208,11
Alive,Natalie Bassingthwaighte,SFKK30,2
Alive,P O D,SC8765,12
Alive,Pearl Jam,SFWS044,7
Alive,S Club,SFTP3-02,8
Alive And Kicking,Simple Minds,SF001,10
All About Loving You,Bon Jovi,SFMW843,1
All About Soul,Billy Joel,SFMW823,13
All About Soul,Billy Joel (Vocal),PS1308,1
All About Tonight,Pixie Lott,SF307,7
All About Us,T A T U,SF236,11
All About You,Mcfly,ZPA076,2
All Alone Am I,Brenda Lee,ZPA054,9
All Along,Blessid Union Of Souls,SC8304,10
All Along Blessid,Union Of Souls,PHM9607,8
All Along The Watch Tower,Bob Dylan,LEG224,1
All Along The Watchtower,Jimi Hendrix,SGB0028,4
All Along The Watchtower,U2,SFWS020,5
All American Girl,Carrie Underwood,SFMW927,9
All And All,Joyce Sims,SFMW832,1
All Apologies,Nirvana,SC8122,7
All Around Me,Flyleaf,SC9016,5
All Around Me,Flyleaf (Vocal),PHM0804,16
All Around The World,Jam,SFGD008,5
All Around The World,Lisa Stansfield,SF011,11
All At Once,Bonnie Raitt,LEG237,14
All At Once,Fray,SF260,12
All At Once,Fray (Vocal),PHM0712,17
All At Once,Whitney Houston,SFMW827,3
All At Sea,Jamie Cullum,ZPA074,8
All Because Of You,U2,SFWS022,11
All By Myself,Celine Dion,SFMW852,3
All By Myself,Eric Carmen,SC8706,3
All Cried Out,Alison Moyet,SFMW820,9
All Cried Out,Dustyspringfield,SFWS026,11
All Cried Out,Lisa Lisa And Cult Jam,DKK046,7
All Day,Lisa Loeb,SC8508,5
All Day And All Of The Night,Kinks,ZPA071,2
All 'er Nothin',Oklahoma,PS1175,1
All Eyez On Me,Monica,SC8773,1
All Fired Up,Dan Seals,SC8236,12
All Fired Up,Pat Benatar,SGB0039,5
All Fired Up,Saturdays,SF307,5
All For Love,Adams And Stewart And Sting,SF007,1
All For Love,Bryan Adams,LEG236,8
All For Love,Bryan Adams Rod Stewart And S,SFWS008,12
All For Love,Color Me Badd,SC8374,1
All For Love,Serena Ryder,PHM1006,9
All For Love,Serena Ryder (Vocal),PHM1006,18
All For One,High School Karaoke 2,ZPA123,15
All For One (No Backing Vocals),High School Karaoke 2,ZPA123,16
All For The Best,Godspell,PS1241,18
All For The Best,Godspell (Vocal),PS1241,6
All For You,Janet Jackson,SPC015,4
All For You,Janet Jackson (Vocal),PHM0106,10
All For You,Sisqo,SFTP04,1
All For You,Sister Hazel,SC8381,13
All Good Gifts,Gospel,PS1241,19
All Good Gifts,Gospel (Vocal),PS1241,7
All Good Things (Come To An End),Nelly Furtado,SFKK16,14
All Good Things (Come To An End),Nelly Furtado (Vocal),PHM0706,10
All Good Things Come To An End,Nelly Furtado,SF249,11
All Hooked Up,All Saints,SFTP04,2
All I Ask Of You,Barbra Streisand,SFGD042,2
All I Ask Of You,Phantom Of The Opera,SFMW806,8
All I Care About,Chicago,SFGD048,3
All I Do,B5,PHM0506,18
All I Do Is Dream Of You,Gene Kelly,MM6242,9
All I Ever Need Is You,Cher,SGB0010,14
All I Ever Need Is You,Dottie West And Kenny Rogers,SC8511,3
All I Ever Wanted,Basshunter,EKI25,6
All I Ever Wanted,Kelly Clarkson,CB5139-01,12
All I Ever Wanted,Kelly Clarkson (Vocal),CB30129,9
All I Give A Darn About Is You,Keith Perry,SC8341,8
All I Got,Newton Faulkner,SF261,15
All I Have,Jennifer Lopez And Ll Cool J,PHM0303,11
All I Have,Mat Kearney,PHM1005,7
All I Have,Mat Kearney (Vocal),PHM1005,16
All I Have To Do Is Dream,Everly Brothers,SPC035,12
All I Have To Do Is Dream (No Harmo,Everly Brothers,ZPA057,16
All I Have To Do Is Dream (With Har,Everly Brothers,ZPA057,3
All I Have To Give,Backstreet Boys,TT031,1
All I Have To Offer You Is Me,Charlie Pride,SC7558,15
All I Hear,Kate Alexa,SFKK09,15
All I Know,Screaming Trees,SC8308,11
All I Need,Air,SFMW877,15
All I Need,Jack Wagner,SC7564-V2,12
All I Need,Matchbox 20,SFWS040,5
All I Need,Temptations,DKK098,15
All I Need Is A Miracle,Mike And The Mechanics,SFID008,3
All I Need To Know,Kenny Chesney,SC8189,4
All I Really Want,Alanis Morissette,SFMW839,2
All I Really Want To Do,Byrds,LC008,7
All I Really Want To Do,Cher,SFGD053,7
All I See,Christopher Williams,SAVP026,17
All I See Is You,Dustyspringfield,SFWS026,15
All I Wanna Be,Peter Frampton,LEG229,3
All I Wanna Do,Dannii Minogue,SF114,3
All I Wanna Do,Sheryl Crow,ZLP09,15
All I Wanna Do,Sheryl Crow (Vocal),SC2034,14
All I Wanna Do Is Make Love To You,Heart,SFID004,14
All I Want,Mis Teeq,EZH001,5
All I Want,Offspring,SC8357,11
All I Want,Staind,CBE10-22,1
All I Want,Susanna Hoffs,SC8337,11
All I Want,Toad The Wet Sprocket,SC8148,3
All I Want,Wet Wet Wet,SFMW858,12
All I Want For Christmas Is A Real,Kenny Chesney,SC8900,8
All I Want For Christmas Is My Two,Christmas,SC2031,8
All I Want For Christmas Is You,Mariah Carey,ZKH09,2
All I Want Is A Life,Tim Mcgraw,SC8250,6
All I Want Is A Life,Tim Mcgraw (Vocal),PS1219,2
All I Want Is Everything,Mindy Mccready,SGB0029,8
All I Want Is You,Damien Leith,SFKK21,12
All I Want Is You,U2,SFWS020,8
All I Want To Do,Sugarland,SFMW930,13
All I Wanted Was You,Billy Hoffman,SC8729,10
All In All,Lifehouse,PHM1009,3
All In All,Lifehouse (Vocal),PHM1009,12
All In The Family,Tv Theme,SC8116,10
All In The Heart,Stephanie Davis,SC8282,10
All In Your Mind,Mariah Carey,SFMW831,1
All Is Fair In Love,Barbra Streisand,DG007,7
All Is Fair In Love And War,Ronnie Milsap,SC8301,8
All Jacked Up,Gretchen Wilson,SPC038,11
All Kinds Of Everything,Dana,ZKH13,14
All Lit Up In Love,David Lee Murphy,SC8388,13
All Mixed Up,311,SC8448,2
All My Ex's Live In Texas,George Strait,TT040,2
All My Friends Say,Luke Bryan,SC9011,7
All My Life,Aaron Neville And Linda Ronst,PI016,18
All My Life,Foo Fighters,SFMW851,11
All My Life,K Ci And Jojo,SC8453,11
All My Life,N-force,SF276,9
All My Love,Led Zeppelin,SC8674,12
All My Loving,Beatles,ZPA090,6
All My Rowdy Friends Are Coming Ove,Hank Williams Jnr,SC7591,1
All My Rowdy Friends Are Coming Ove,Hank Williams Jr,CBSE1,--
All My Rowdy Friends Have Settled D,Hank Williams Jnr,SC8114,1
All Night Long,Alexandra Burke Feat Pitbull,SF292,3
All Night Long,Joe Walsh,SC8322,6
All Night Long,Lionel Richie,ZPA121,7
All Night Long,Montgomery Gentry,SC8646,12
All Night Long,Rainbow,SFMW905,1
All Night Long (Touch Me),Cathy Dennis,SFHH05-1,4
All Of Me,Frank Sinatra,SGB0033,4
All Of Me,Standard,DKK063,14
All Of Me,Willie Nelson,SC7544,12
All Of My Heart,A B C,SF082,3
All Of The Dreamers,Powderfinger,SFKK39,11
All Of The Lights,Kanye West,SFKK57,10
All Of This Love,Pam Tillis,SC8250,10
All Or Nothing,Cher,SGB0030,3
All Or Nothing,O Town,TT062,1
All Or Nothing,O Town (Vocal),PHM0106,18
All Or Nothing,Small Faces,ZPA094,1
All Or Nothing At All,Frank Sinatra,SGB0061,7
All Out Of Love,Air Supply,SF012,15
All Out Of Love,H And Claire,SF199,3
All Over Again,Ronan Keating Kate Rusby,THM2006,--
All Over But The Shoutin',Shenandoah,SC8253,8
All Over Me,Blake Shelton,SC8733,4
All Over Me,Charlie Rich,SC8442,4
All Over Me,Josh Turner,SFMW930,14
All Over The World,Electric Light Orchestra,ZPA088,12
All Over You,Freddie Jackson,DKK074,6
All Over You,Live,SC8199,3
All Revved Up With No Place To Go,Meatloaf,SC8624,15
All Right Now,Free,ZLP07,1
All Rise,Blue,SFGD038,1
All Roads Lead To You,Steve Wariner,SC8647,9
All She Wants,Duran Duran,SFGD004,11
All She Wants To Do Is Dance,Don Henley,ZPA041,3
All She Wrote,Default,PHM0409,8
All She Wrote,Default (Vocal),PHM0409,17
All Shook Up,Elvis Presley,ZPA001,1
All Sparks,Editors,SFMW925,5
All Star,Smash Mouth,SGB0030,19
All Stood Still,Ultravox,SFMW870,5
All Summer Long,Kid Rock,SFKK28,1
All That Heaven Will Allow,Mavericks,SC8173,15
All That I Need,Boyzone,SFPL016,6
All That Jazz,Chicago,SFGD048,1
All That Matters Any More,Lee Roy Parnell,SC8444,9
All That She Wants,Ace Of Base,ZLP09,9
All The Boys Want,Emily Osment,PHM1105,6
All The Boys Want,Emily Osment (Vocal),PHM1105,15
All The Fun,Paul Overstreet,SC8431,10
All The Gold In California,Larry Gatlin And The Gatlin B,SC8424,7
All The Good Ones Are Gone,Pam Tillis,SC8376,8
All The Kids Are Right,Local,SC8490,8
All The King's Horses,Joss Stone,ZPA062,9
All The Love In The World,Dionne Warwick,SF082,8
All The Lovers,Kylie Minogue,SFKK45,2
All The Loving And The Hurting Too,Deborah Allen,SC8278,1
All The Man That I Need,Whitney Houston,SC2007,6
